Inicio del algoritmo Branch & Bound 4 nodos spark
Mejor costo: 1308.2343104134345, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 45, 36, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 2031.03 segundos
Mejor costo: 1308.1764667830769, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 45, 47, 42, 46, 40, 39, 41, 43, 36, 44, 38, 48, 49], Tiempo actual: 2140.17 segundos
Mejor costo: 1306.9350141198624, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 45, 48, 49, 38, 44, 36, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 2166.72 segundos
Mejor costo: 1303.0969463204433, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 45, 49, 48, 38, 44, 36, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 2183.53 segundos
Mejor costo: 1300.7856716727617, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 48, 38, 49, 45, 36, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 2443.41 segundos
Mejor costo: 1294.2266746438056, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 48, 49, 38, 44, 36, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 2560.35 segundos
Mejor costo: 1294.2211747585447, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 48, 49, 38, 44, 36, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 2560.35 segundos
Mejor costo: 1293.220597925028, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 49, 48, 38, 44, 36, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 2690.72 segundos
Mejor costo: 1293.215098039767, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 49, 48, 38, 44, 36, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 2690.72 segundos
Mejor costo: 1291.9352406712096, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 42, 47, 46, 40, 39, 41, 43, 36, 44, 38, 48, 49, 37, 45], Tiempo actual: 4100.19 segundos
